gene_id,lib228,lib290,lib297,lib304,lib311,lib318,lib351
ENSG00000000419,6.04424548148185,6.17329770202075,6.19636461576664,6.21713311489587,6.27064255080737,6.0826803687051,6.26113422574854
ENSG00000000457,6.35560745052491,6.27686326806509,6.19636461576664,6.34307199538333,6.19463152319982,6.42879937129973,6.41650896034919
ENSG00000000460,5.94143883823852,6.0543588862985,6.02918582370258,6.03507953517662,5.94596624951958,6.01841920838702,6.10617747857093
ENSG00000000938,7.4029529956817,7.81092061708686,7.70473153008051,7.98063293675623,8.14748307953996,8.10110696435882,7.83326962038206
ENSG00000001084,6.10527650195439,6.20041623686485,6.22108326390546,6.16103208884964,6.19463152319982,6.27296456338744,6.28895831685686
ENSG00000001167,7.11256151575647,6.87846705624572,6.96787550251517,7.0479597357241,6.9725252950783,7.08294655274144,7.1849365892354
ENSG00000001461,6.7008411169407,6.51227981852559,6.57905832489379,6.55308154269017,6.5047662474713,6.56283824258433,6.6302858515245
ENSG00000001497,6.77561874411064,6.95723286978669,6.83058660735247,6.81980929779674,6.78503343023046,6.71306471986724,7.0180838722771
ENSG00000001561,6.13402755031668,6.25213395669242,6.26844946790255,6.24382273819158,6.16766942106621,6.1697702076675,6.28895831685686
ENSG00000001629,6.73135833887884,6.62036448463296,6.65923450073819,6.55308154269017,6.69419649990465,6.7438011531145,6.84049718666653
ENSG00000001631,6.39813602661398,6.47355003311421,6.41682140044418,6.533974515574,6.44640462275216,6.3868819424015,6.5909464544393
ENSG00000002016,6.04424548148185,6.17329770202075,6.14456212696839,6.24382273819158,6.04942698812272,6.2969292410367,6.07115875157043
ENSG00000002330,5.90321029901752,5.95027603776795,5.99721594647313,5.88128564728455,5.94596624951958,5.98393745019704,5.81129593698522
ENSG00000002549,6.26410519198172,6.39118009510156,6.43621606937523,6.29483667250368,6.36268969194008,6.22295193722855,6.23238530261162
ENSG00000002586,6.8457412268633,6.89196656798939,6.89499035976352,6.97233992546793,7.0090997865844,7.25253705166916,7.0180838722771
ENSG00000002587,6.41870260309763,6.0213875943669,6.26844946790255,6.21713311489587,6.01665155021644,6.2969292410367,5.7538619812447
ENSG00000002822,6.68525882865245,6.83700134170152,6.8172632028871,6.8345316029593,6.69419649990465,6.7438011531145,6.48553068539051
ENSG00000002834,7.64008952370357,7.5032911673271,7.44180162591536,7.52105227020502,7.37104864353282,7.52824915888479,7.50235337797393
ENSG00000002919,6.43883757161549,6.27686326806509,6.39702614993338,6.38889220295345,6.46624371293554,6.3868819424015,6.52901156522372
ENSG00000003056,6.83205650633433,6.95723286978669,6.77633237323531,6.80489510942692,6.81374988536476,6.88606267528046,6.85636602851277
ENSG00000003249,6.74630737005772,6.68672221900977,6.57905832489379,6.5902668285289,6.27064255080737,6.83126144063913,6.77472824768761
ENSG00000003393,6.07539277697561,5.98677622307054,6.02918582370258,6.10068251613784,6.04942698812272,6.05126776640674,6.20262538657099
ENSG00000003400,6.55171671304079,6.53109960559664,6.56226316995866,6.49464868751366,6.61228449446585,6.58061982120155,6.39236118458877
ENSG00000003402,7.01046158462356,6.91850770441627,7.01410198108543,7.11915935915528,7.28741207257473,7.09425056228012,7.11071808667876
ENSG00000003509,6.10527650195439,6.22667180664465,6.17087996553128,6.21713311489587,6.13977023988636,6.11281714458014,6.13965184772832
ENSG00000003756,8.19195379588084,8.22604882000762,8.18591125167638,8.3750018841581,8.14748307953996,8.10110696435882,8.22629174005879
ENSG00000004059,6.97442728594739,7.00698495635598,7.02538686120692,6.9592611297738,7.11264338886702,7.10545178327934,7.0180838722771
ENSG00000004139,6.04424548148185,6.0543588862985,6.02918582370258,6.03507953517662,5.98224700635414,6.14181023284333,6.03438387139169
ENSG00000004142,6.73135833887884,6.82284157268966,6.70461614463756,6.69457111554479,6.67830344448038,6.77371284441942,6.68670661463511
ENSG00000004455,7.04545194333408,7.1341428121777,7.05862570531844,7.010741482417,7.11264338886702,7.08294655274144,7.00425591322204
ENSG00000004468,6.33358867640709,6.22667180664465,6.22108326390546,6.03507953517662,6.16766942106621,5.94757477751301,5.95442604560511
ENSG00000004478,6.60378888243978,6.63734209561199,6.56226316995866,6.71101777266794,6.78503343023046,6.61530099128789,6.55007237032129
ENSG00000004487,6.66945066980348,6.80850456892372,6.80378271211648,6.75893914824795,6.79948233912701,6.71306471986724,6.80808702016074
ENSG00000004534,8.05475954649971,8.2163194711633,8.12871077101,7.87462596629825,8.14241010793866,8.2411178380557,8.35790075365001
ENSG00000004700,6.62058709371839,6.62036448463296,6.61185994494928,6.62617732175775,6.69419649990465,6.64888263687035,6.79153033118189
ENSG00000004766,6.35560745052491,6.34715577110269,6.31336753307402,6.31927693221241,6.36268969194008,6.3868819424015,6.50750578779899
ENSG00000004777,6.35560745052491,6.39118009510156,6.37680839498762,6.533974515574,6.38432182392356,6.32026390695361,6.34212022545717
ENSG00000004779,5.94143883823852,6.0213875943669,6.02918582370258,5.92335260254269,5.94596624951958,6.01841920838702,5.95442604560511
ENSG00000004864,5.94143883823852,6.0543588862985,5.96366186638577,6.03507953517662,6.01665155021644,6.11281714458014,6.13965184772832
ENSG00000004897,6.85926553928273,6.76437520113303,6.76235292189947,6.75893914824795,6.81374988536476,6.7883755956936,6.84049718666653
ENSG00000004975,6.76105878775011,6.80850456892372,6.77633237323531,6.80489510942692,6.64580155241787,6.77371284441942,6.64942287561891
ENSG00000005007,7.45391565708854,7.4094039472806,7.40076469543555,7.38810074144128,7.2969784032993,7.40211259476983,7.55751400706433
ENSG00000005020,7.3678353916461,7.16666294229172,7.00271078041485,7.02327488225925,6.96008157451465,7.30117619128388,6.93262042489317
ENSG00000005022,7.66873763985336,7.65858925175223,7.78203785135369,7.63411925294281,7.9751664087981,7.78299482049498,7.47388420069803
ENSG00000005059,6.94978791417831,7.08941339324996,7.10158384042561,6.84906776969906,7.09037800041918,6.84520704410942,6.75767190882284
ENSG00000005075,6.16175545180051,6.30091290348014,6.29119373307538,6.29483667250368,6.27064255080737,6.36520501707707,6.17175383580802
ENSG00000005100,6.39813602661398,6.32432982595379,6.26844946790255,6.34307199538333,6.19463152319982,6.36520501707707,6.39236118458877
ENSG00000005156,6.13402755031668,6.17329770202075,6.22108326390546,6.21713311489587,6.13977023988636,6.19679072184381,6.20262538657099
ENSG00000005175,6.37711330398418,6.56773035233885,6.41682140044418,6.36626441174502,6.46624371293554,6.34301012069937,6.34212022545717
ENSG00000005194,6.16175545180051,6.25213395669242,6.22108326390546,6.21713311489587,6.2207365085198,6.22295193722855,6.13965184772832
ENSG00000005206,7.95511174231557,8.18671754700597,8.17183000178677,8.35221319624816,8.01473790844693,7.98024479386845,7.98585574997958
ENSG00000005302,7.67580516974414,7.68040205102785,7.54285355926603,7.68725593478288,7.39776602386023,7.50397127597357,7.59305353436394
ENSG00000005339,8.94840862615249,8.60595246669239,8.67070289792058,8.57682601904003,8.81569529376982,8.72362388538201,8.84936509303296
ENSG00000005379,5.97748890937716,6.11613620161774,6.17087996553128,6.0686160507742,6.16766942106621,6.11281714458014,6.10617747857093
