gene_id,lib221,lib294,lib301,lib308,lib315,lib322,lib355
ENSG00000000419,5.27681186418245,5.43342321258238,5.2712127870539,5.56407347368043,5.56941366950552,5.50684912127036,5.55501319226908
ENSG00000000457,4.69169634376386,5.05805336829231,5.05005496846509,4.75878177057611,4.95578172845202,4.90547943870554,4.89064254676321
ENSG00000000938,10.1623434075385,9.02786487801805,9.76732988074701,9.70085766072967,9.96077036617481,9.33351851412827,9.96073571705239
ENSG00000001036,5.01886400656173,4.95700292950012,5.18731304988137,5.74121490493632,5.40683991117136,5.40693813822132,5.18162865634878
ENSG00000001084,5.11083082226558,5.15149926373497,5.14320094564953,5.20358737985605,5.18074815325955,5.26067746574533,5.22417562015762
ENSG00000001167,5.67652201155041,5.98929733524144,5.92996625561611,5.71325429796546,5.84535407445422,5.794569565925,5.79292040782022
ENSG00000001461,5.52428789909922,6.32896676824156,5.7721284684229,5.6847062047713,5.62928081479222,5.65835106807522,5.55501319226908
ENSG00000001497,5.4238648782773,5.53785894580865,5.42428795143348,5.6257386470989,5.40683991117136,5.65835106807522,5.34397770272368
ENSG00000001561,4.48443112236145,5.10564591234751,5.18731304988137,4.75878177057611,4.7399959910067,5.18083912165745,5.04466650892567
ENSG00000001629,5.06569643928982,6.03656503844828,5.85331411402612,5.49943312575838,5.59968032590621,5.50684912127036,5.58714630449374
ENSG00000001631,5.01886400656173,5.75392450330635,5.68580694658568,5.20358737985605,5.18074815325955,5.44108666742635,5.38157824980925
ENSG00000002016,4.31905583136008,4.78756755656315,4.65257448824803,4.32344905830684,4.39472842842036,4.39478866059038,4.64813507019049
ENSG00000002330,4.97018172447047,4.43310731221998,4.58266487619414,4.97663786719502,4.90539827509246,5.00424351491536,4.89064254676321
ENSG00000002549,6.09498154175496,6.45509922400679,6.68081935677968,6.57020191109622,6.88770750618088,6.15721935704883,5.70852203142139
ENSG00000002586,7.44184730873666,6.89595255547418,6.94567239564057,7.74210507288853,7.16767563570155,8.03073732629954,7.53166821303644
ENSG00000002822,5.93774352277263,5.86353590274924,5.74395856711934,6.06073881620753,5.94181224029265,6.13712843246534,5.61852866392414
ENSG00000002834,9.16128819355255,8.6310233154214,8.86657530691928,8.80570510958994,8.90407590507829,8.50979708085325,8.91350928741044
ENSG00000002919,6.57571320521538,5.80982698764392,6.17948984842427,6.18654846535807,6.49258467277415,6.13712843246534,6.43604776374371
ENSG00000002933,3.84988968059233,5.35891554269059,4.42739893022508,5.97006381967116,6.49258467277415,6.56916584571707,4.33626863196889
ENSG00000003056,6.41617216440615,7.09605460612418,7.02785521580865,6.85932223257191,6.95735629643201,6.72412784129038,6.82447091683671
ENSG00000003393,4.75296501420814,5.00856573595079,5.14320094564953,4.75878177057611,4.95578172845202,4.85288517472032,5.13760986799862
ENSG00000003400,6.09498154175496,6.27124618483199,6.15856605755211,5.97006381967116,5.98762482159119,5.82025330714146,6.01882036689711
