gene_id,lib227,lib289,lib296,lib303,lib310,lib317,lib350
ENSG00000000419,5.76448402638881,5.93292501981793,5.9482170418611,5.89295743846032,5.81161545519141,5.89499058185991,6.05402061847881
ENSG00000000938,10.7172330707368,10.7766769209886,10.7092656902479,10.6221866609777,10.5988264291303,10.7152907083899,10.3173610442102
ENSG00000001036,6.60279880963494,6.99285706239025,6.95117870299451,6.93518488983411,6.96152126747018,7.01131031989805,6.83074693377947
ENSG00000001084,6.17459634477881,6.2224632036367,6.20865435233944,6.03084830103221,6.0572656593049,6.09941794527438,6.08098954855815
ENSG00000001167,6.82429525264916,6.93338936553128,6.81486340622256,6.85812492860528,6.72982077335608,6.7639096130487,6.95544934623535
ENSG00000001461,5.47148649425651,5.48729447568972,5.52190805303563,5.49941016698962,5.33839583951082,5.4801960410517,5.38014239893412
ENSG00000001497,6.03826762190509,6.20095421502654,6.20865435233944,6.1764099309726,6.15093701133668,6.12251171684331,6.05402061847881
ENSG00000001629,6.35316697173169,6.30479198574138,6.25024762431677,6.10596127281435,6.25824952422563,6.2923617183741,6.32076974936405
ENSG00000001631,5.85443608164542,5.93292501981793,5.86494221846181,5.8323326823649,5.78035912445437,5.80691126035001,5.84385114562436
ENSG00000002330,5.59294821621658,5.61072605737205,5.6015056517321,5.69882996490319,5.68009049990666,5.74359281367688,5.62100202939843
ENSG00000002549,7.66898930764104,8.00838273409091,8.21758438778367,7.73444888323336,8.21143800139958,7.51552565091657,7.21902001277634
ENSG00000002586,8.13826266277596,7.86091490728773,7.46501911342557,8.00685428093228,7.47665690419584,7.90273694149629,7.92858520209766
ENSG00000002822,6.21666789907471,6.53939796897726,6.34829365537899,6.45902202338461,6.25824952422563,6.33127699335259,6.2306509917791
ENSG00000002834,8.98145392361801,8.63678707959573,8.78891770360579,8.87050844952381,8.81529871380987,8.87865115023762,8.64855946923425
ENSG00000002919,6.40725869674496,6.20095421502654,6.38539120635608,6.32596338517365,6.46515132241867,6.45846323819923,6.20701021677673
ENSG00000002933,5.32799050680189,7.99147615503103,6.20865435233944,7.6554029303737,8.04285324807888,8.53094872146488,5.93902442346974
ENSG00000003056,7.80638734332525,7.90979668589662,7.87582782372671,7.85492717137024,7.78150409093097,7.67784768173397,7.9673709002557
ENSG00000003393,5.85443608164542,5.75255857279636,5.67451839528928,5.73395957308853,5.71469292195171,5.74359281367688,5.77510802158988
ENSG00000003400,6.54092916622218,6.47181759408496,6.58732919256077,6.59550050990218,6.51603874768997,6.47561012698365,6.50201589764067
ENSG00000003402,7.67584561468406,7.60977528404371,7.52829722215439,7.9777448794369,7.68006830134215,7.83584277362707,7.8751600317614
ENSG00000003509,5.42662093020715,5.5304679060205,5.52190805303563,5.54311464893675,5.52676712275982,5.4801960410517,5.62100202939843
ENSG00000003756,7.41329962692493,7.5412360361654,7.33799887909372,7.6026796235897,7.16916299191904,7.06662556161937,7.54710573146731
ENSG00000004059,7.71629525374167,7.66800460165426,7.82040717676653,7.75525744359081,7.89431337400743,7.89080748317295,7.70156429177899
ENSG00000004142,6.71825132690823,6.66464211345426,6.7615949821215,6.61157301516197,6.68690244855578,6.7639096130487,6.60972521285816
ENSG00000004399,8.92282528134708,8.72760097822159,8.67638872462473,8.90779500360682,8.89515158956719,8.9965772902548,8.85449900633703
ENSG00000004455,7.3105266656452,7.36684872439422,7.46501911342557,7.30425835298704,7.34934718298349,7.46777515641161,7.30350771526775
ENSG00000004478,6.13094205710277,6.43660861073416,6.27050886214263,6.45902202338461,6.53255370850747,6.3502749190924,6.27656003454395
ENSG00000004487,6.23715092844093,6.32451885313282,6.31002884873209,6.26415931187419,6.25824952422563,6.23150934786183,6.2988682026671
ENSG00000004534,7.07860874964929,7.24674734892796,7.27448011169506,7.08835313609874,7.21891838533941,7.19085134992769,7.43995457886035
ENSG00000004660,5.88273269197521,5.96016111860924,5.67451839528928,6.24282664885666,6.17320314055319,5.64002561033585,5.96893357612928
ENSG00000004700,6.13094205710277,6.08698074465743,6.20865435233944,6.22110251994057,6.15093701133668,6.21051011990982,6.27656003454395
ENSG00000004766,5.69959506009945,5.81630746455688,5.70896355348396,5.69882996490319,5.68009049990666,5.83712245240679,5.87655148870215
ENSG00000004777,5.47148649425651,5.34140466001845,5.33444594071563,5.66234046138292,5.48374935848299,5.43492189598278,5.48517147687948
ENSG00000004779,5.85443608164542,5.93292501981793,5.92118372853141,5.97778821298329,6.00732489115022,6.05176428186891,6.10732756034324
ENSG00000004799,5.88273269197521,5.22429183609871,6.25024762431677,5.49941016698962,5.22172393770891,6.05176428186891,5.38014239893412
ENSG00000004864,5.96330817161391,5.93292501981793,5.89344137583145,5.95025417883484,5.92784997103339,5.89499058185991,5.96893357612928
ENSG00000004897,6.31572495145069,6.2224632036367,6.38539120635608,6.10596127281435,6.25824952422563,6.31197636635243,6.40462728712286
ENSG00000004961,5.93712382101588,5.90497281187352,5.7422015914182,5.92199357659767,5.98147716148731,5.89499058185991,5.84385114562436
ENSG00000004975,5.825336745752,5.78494592560543,5.89344137583145,5.8323326823649,5.89998838141236,5.89499058185991,5.73886114776323
ENSG00000005007,7.228090025215,7.37566874324137,7.23682326845068,7.44866072444061,7.35820806063392,7.24896952443853,7.32384375565588
ENSG00000005020,8.08806700294898,7.81028106913973,7.72962158434116,7.78253238474934,7.65887231931313,7.89080748317295,7.79103255790634
