gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression
ENSG00000129824,RPS4Y1,144.702422334561,10.8536866582173,1.03796009633301,10.45674751521,1.36459674325441e-25,1.21394526279912e-21,Up
ENSG00000067048,DDX3Y,133.099593920593,10.7315234120107,1.04215892917324,10.2973962143415,7.23942964021339e-25,3.22009830396691e-21,Up
ENSG00000012817,KDM5D,111.832170027395,10.4804807264186,1.03711014636592,10.1054654253867,5.22468897077372e-24,1.54929443613343e-20,Up
ENSG00000099725,ENSG00000099725,62.7622534682006,9.64631063036758,1.05677869407189,9.12803284593033,6.97552180961965e-20,1.55135605045941e-16,Up
ENSG00000114374,USP9Y,41.4339052304751,9.04751027114445,1.05197680778234,8.60048453940481,7.93802420604883e-18,1.41233326674021e-14,Up
ENSG00000131002,ENSG00000131002,33.3548429247553,8.73384846162163,1.06294078047732,8.21668396022932,2.09207446896411e-16,3.10184907931745e-13,Up
ENSG00000183878,UTY,30.1159688297512,8.58797529789288,1.05675828529359,8.1267167879426,4.41074301442838e-16,5.60542426519355e-13,Up
ENSG00000233864,ENSG00000233864,14.3793607029351,7.52057866739705,1.09048478034597,6.89654619939862,5.32820427988807e-12,5.92496315923554e-09,Up
ENSG00000099749,ENSG00000099749,11.9040560515317,7.2488365180605,1.10092159542116,6.58433493194168,4.56926047611912e-11,4.51646013283952e-08,Up
ENSG00000229807,XIST,527.424434034388,-7.34286296878946,1.15171988662703,-6.37556323725037,1.82291751042583e-10,1.62166741727482e-07,Down
ENSG00000067646,ZFY,9.42875140012842,6.91384147721617,1.11998436914661,6.17315890085528,6.6938874664072e-10,5.41352935465077e-07,Up
ENSG00000215580,ENSG00000215580,7.4647827205443,6.57525049755287,1.14457979633928,5.74468509629696,9.20922087896021e-09,6.8271024116025e-06,Up
ENSG00000198692,EIF1AY,6.712165695175,6.4236558020188,1.15631633886728,5.55527547791235,2.7717427947235e-08,1.89672491552771e-05,Up
ENSG00000173674,EIF1AX,83.6977436037818,-1.02159841752975,0.209935849485336,-4.86624090184803,1.13740866093693e-06,0.000722741960549638,Down
ENSG00000198034,RPS4X,2095.53569274473,-0.548409447044598,0.11480211059286,-4.77699795075638,1.77931586331041e-06,0.00105525292800063,NS
ENSG00000171223,JUNB,1531.96048578124,-0.823812168233623,0.178125239676756,-4.62490419509665,3.74771585530724e-06,0.00208373001555083,NS
ENSG00000130741,EIF2S3,204.527518736199,-0.73051725821857,0.16071178798114,-4.5455113616451,5.48020407941635e-06,0.00286775855826399,NS
ENSG00000168209,DDIT4,131.498510950372,-0.78860098708807,0.197464418359837,-3.99363588457243,6.50677606587214e-05,0.032157933267777,NS
ENSG00000147050,KDM6A,76.5832784327674,-0.849496292154194,0.217285596597618,-3.90958400122278,9.24552014919616e-05,0.0432884985511837,NS
ENSG00000215301,DDX3X,584.576132622216,-0.675134337985789,0.182617131352646,-3.69699344735658,0.000218167971435425,0.0970411136944771,NS
ENSG00000137959,IFI44L,24.6863054453278,-1.73776401328256,0.475846576861878,-3.65194181860633,0.000260264858223511,0.11025315136935,NS
ENSG00000036448,MYOM2,9.34852178672105,3.0767232300474,0.86913599301481,3.53997907666329,0.000400158755779687,0.161809649609822,NS
ENSG00000135046,ANXA1,336.494623225488,0.627632450052955,0.179109312314198,3.50418658831064,0.000458004328187781,0.17714810885037,NS
ENSG00000152518,ZFP36L2,1828.89440206948,-0.465569418226531,0.13757669939667,-3.3840717233968,0.000714193438321587,0.264727701137868,NS
ENSG00000148841,ITPRIP,71.0420638596425,-0.794114132103558,0.245430104511635,-3.23560197997598,0.00121386515778417,0.431941777745918,NS
ENSG00000107281,NPDC1,54.56036626452,-0.912704367678279,0.283400842307517,-3.22054218416157,0.00127948360910654,0.437780237946608,NS
ENSG00000126012,KDM5C,183.73052693933,-0.529374539349132,0.166118205391725,-3.18673403737301,0.00143889022207744,0.474087682059294,NS
ENSG00000146278,PNRC1,298.602990014713,-0.460266088771381,0.149048995182851,-3.08801872972531,0.00201495771088152,0.640180849857214,NS
ENSG00000000419,DPM1,19.2390162565945,0.0284099378483154,0.382029891799146,0.0743657458700956,0.940719364142523,0.999996140253564,NS
