gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression
ENSG00000229807,XIST,611.773158230437,-10.6890348915537,1.03578364121578,-10.3197564300273,5.73685052386018e-25,5.14480754979781e-21,Down
ENSG00000067048,DDX3Y,164.097794833869,10.2756846562032,1.04691928450268,9.81516417579841,9.68801607638105e-23,4.34410640864926e-19,Up
ENSG00000012817,KDM5D,58.036383556613,9.49993079766521,1.05938249090133,8.96742288951996,3.03532859596685e-19,6.80520671215767e-16,Up
ENSG00000129824,RPS4Y1,55.6715818888678,9.43980188099394,1.05012300725339,8.98923441900762,2.48958516506608e-19,6.80520671215767e-16,Up
ENSG00000099725,ENSG00000099725,47.4633921538074,9.20977905537166,1.05622851715273,8.71949479284885,2.79445839851454e-18,5.01214058357567e-15,Up
ENSG00000114374,USP9Y,34.9071676299471,8.76639821355301,1.06123453513726,8.26056627757515,1.44982991868393e-16,2.16701245179292e-13,Up
ENSG00000183878,UTY,26.2784261326368,8.35718235018977,1.07127201231792,7.80117678245627,6.13325215394166e-15,7.8575721880784e-12,Up
ENSG00000131002,ENSG00000131002,14.1626905627964,7.46442512724379,1.10970035695364,6.72652313795339,1.7376502786019e-11,1.94790596231273e-08,Up
ENSG00000067646,ZFY,10.8068544858821,7.07495105917866,1.12568769451663,6.28500346378634,3.2784638210242e-10,3.26680706077166e-07,Up
ENSG00000233864,ENSG00000233864,11.211142853794,6.3871578615984,1.12266527362622,5.6892806891299,1.27575618920345e-08,1.14409815047765e-05,Up
ENSG00000104972,LILRB1,41.622947528275,2.13962583860932,0.387971080552185,5.51491063603005,3.48957225562783e-08,2.84495308986094e-05,Up
ENSG00000162383,SLC1A7,34.2557013362632,1.79558883836933,0.355030106956017,5.05756780393775,4.24637469057314e-07,0.000317345735208832,Up
ENSG00000137965,IFI44,34.2369668352179,-1.81169639095056,0.369377224504802,-4.90473226490718,9.35548597047175e-07,0.000645384601409159,Down
ENSG00000099749,ENSG00000099749,5.01221725681418,5.96512193881995,1.23302099011814,4.83781053739274,1.31277185172165e-06,0.000840924140445699,Up
